Station,Station_Code,Line,Distance_from_prev_line,Time_taken_from_previous_line
Churchgate,CCG,Western,0 KM,0 min
Marine Lines,MEL,Western,1 KM,3 min
Charni Road,CYR,Western,1 KM,2 min
Grant Road,GTR,Western,1 KM,3 min
Mumbai Central,MMCT,Western,1 KM,2 min
Mahalakshmi,MX,Western,1 KM,3 min
Lower Parel,PL,Western,2 KM,3 min
Prabhadevi,PBHD,Western,1 KM,3 min
Dadar,D/DR/DDR,Western,1 KM,2 min
Matunga Road,MRU,Western,2 KM,2 min
Mahim Jn,MM,Western,1 KM,3 min
Bandra,B/BA,Western,2 KM,4 min
Khar Road,KHAR,Western,2 KM,3 min
Santacruz,STC,Western,1 KM,2 min
Vile Parle,VLP,Western,2 KM,3 min
Andheri,A/AD/ADH,Western,2 KM,5 min
Jogeshwari,JOS,Western,2 KM,3 min
Ram Mandir,RMAR,Western,2 KM,3 min
Goregaon,GMN,Western,3 KM,2 min
Malad,MDD,Western,2 KM,4 min
Kandivali,KLE,Western,1 KM,3 min
Borivali,BO/BVI,Western,3 KM,6 min
Dahisar,DIC,Western,2 KM,5 min
Mira Road,MIRA,Western,3 KM,5 min
Bhayander,BY,Western,3 KM,5 min
Naigaon,NIG,Western,6 KM,6 min
Vasai Road,BSR/BS,Western,4 KM,5 min
Nalla Sopara,NSP,Western,4 KM,5 min
Virar,VR,Western,4 KM,6 min
Vaitarna,VTN,Western,8 KM,9 min
Saphale,SAH,Western,8 KM,8 min
Kelve Road,KLV,Western,6 KM,8 min
Palghar,PLG,Western,8 KM,15 min
Umroli Road,UOI,Western,6 KM,6 min
Boisar,BOR,Western,6 KM,6 min
Vangaon,VGN,Western,9 KM,9 min
Dahanu Road,DRD,Western,12 KM,13 min
CSMT,CSMT/ST,Central 1,0 KM,0 min
Masjid,MSD,Central 1,1 KM,3 min
Sandhurst Road,SNRD,Central 1,1 KM,2 min
Byculla,BY,Central 1,2 KM,3 min
Chinchpokli,CHG,Central 1,1 KM,2 min
Currey Road,CRD,Central 1,1 KM,2 min
Parel,PR,Central 1,2 KM,3 min
Dadar,D/DR/DDR,Central 1,1 KM,3 min
Matunga,MTN,Central 1,1 KM,3 min
Sion,SIN,Central 1,1 KM,4 min
Kurla,C/CH,Central 1,1 KM,4 min
Vidhyavihar,VVH,Central 1,2 KM,3 min
Ghatkopar,G,Central 1,2 KM,3 min
Vikhroli,VK,Central 1,4 KM,5 min
Kanjur Marg,KJMG,Central 1,2 KM,3 min
Bhandup,BND,Central 1,2 KM,3 min
Nahur,NHU,Central 1,1 KM,3 min
Mulund,MLND,Central 1,2 KM,3 min
Thane,TNA,Central 1,2 KM,4 min
Kalva,KLVA,Central 1,2 KM,4 min
Mumbra,MBQ,Central 1,3 KM,6 min
Diva Jn,DIVA,Central 1,3 KM,4 min
Kopar,KOPR,Central 1,4 KM,5 min
Dombivli,DI,Central 1,1 KM,3 min
Thakurli,THK,Central 1,1 KM,3 min
Kalyan,KYN,Central 1,3 KM,6 min
Vithalwadi,VLDI,Central 1,2 KM,5 min
Ulhas Nagar,ULNR,Central 1,1 KM,3 min
Ambernath,ABH,Central 1,3 KM,6 min
Badalpur,BUD,Central 1,7 KM,8 min
Vangani,VGI,Central 1,11 KM,9 min
Shelu,SHLU,Central 1,4 KM,4 min
Neral,NRL,Central 1,4 KM,4 min
Bhivpuri Road,BVS,Central 1,7 KM,7 min
Karjat,KJT/S,Central 1,7 KM,9 min
Palasdhari,PDI,Central 1,3 KM,5 min
Kelavli,KLY,Central 1,5 KM,7 min
Dolavli,DLV,Central 1,1 KM,3 min
Lowjee,LWJ,Central 1,3 KM,4 min
Khopoli,KP,Central 1,3 KM,6 min
CSMT,CSMT/ST,Central 2,0 KM,0 min
Masjid,MSD,Central 2,1 KM,3 min
Sandhurst Road,SNRD,Central 2,1 KM,2 min
Byculla,BY,Central 2,2 KM,3 min
Chinchpokli,CHG,Central 2,1 KM,2 min
Currey Road,CRD,Central 2,1 KM,2 min
Parel,PR,Central 2,2 KM,3 min
Dadar,D/DR/DDR,Central 2,1 KM,3 min
Matunga,MTN,Central 2,1 KM,3 min
Sion,SIN,Central 2,1 KM,4 min
Kurla,C/CH,Central 2,1 KM,4 min
Vidhyavihar,VVH,Central 2,2 KM,3 min
Ghatkopar,G,Central 2,2 KM,3 min
Vikhroli,VK,Central 2,4 KM,5 min
Kanjur Marg,KJMG,Central 2,2 KM,3 min
Bhandup,BND,Central 2,2 KM,3 min
Nahur,NHU,Central 2,1 KM,3 min
Mulund,MLND,Central 2,2 KM,3 min
Thane,TNA,Central 2,2 KM,4 min
Kalva,KLVA,Central 2,2 KM,4 min
Mumbra,MBQ,Central 2,3 KM,6 min
Diva Jn,DIVA,Central 2,3 KM,4 min
Kopar,KOPR,Central 2,4 KM,5 min
Dombivli,DI,Central 2,1 KM,3 min
Thakurli,THK,Central 2,1 KM,3 min
Kalyan,KYN,Central 2,3 KM,6 min
Shahad,SHAD,Central 2,3 KM,5 min
Ambivli,ABY,Central 2,2 KM,3 min
Titwala,TLA,Central 2,6 KM,5 min
Khadavli,KDV,Central 2,7 KM,8 min
Vasind,VSD,Central 2,8 KM,8 min
Asangaon,ASO,Central 2,6 KM,6 min
Atagaon,ATG,Central 2,9 KM,9 min
Thansit,THS,Central 2,7 KM,7 min
Khardi,KE,Central 2,5 KM,5 min
Umbermali,OMB,Central 2,6 KM,6 min
Kasara,KSRA,Central 2,12 KM,12 min
CSMT,CSMT/ST,Harbour,0 KM,0 min
Masjid,MSD,Harbour,1 KM,3 min
Sandhurst Road,SNRD,Harbour,1 KM,2 min
Dockyarad Road,DKRD,Harbour,2 KM,2 min
Reay Road,RRD,Harbour,1 KM,2 min
Cotton Green,CTGN,Harbour,1 KM,2 min
Sewri,SVE,Harbour,1 KM,3 min
Vadala Road,VDLR,Harbour,2 KM,3 min
GTB Nagar,GTBN,Harbour,2 KM,4 min
Chunabhatti,CHF,Harbour,2 KM,3 min
Kurla,C/CH,Harbour,2 KM,3 min
Tilaknagar,TKNG,Harbour,2 KM,3 min
Chembur,CMBR,Harbour,1 KM,2 min
Govandi,GV,Harbour,3 KM,3 min
Mankhurd,MNKD,Harbour,3 KM,3 min
Vashi,VSH,Harbour,8 KM,8 min
Sanpada,SNCR,Harbour,3 KM,3 min
Juinagar,JNJ,Harbour,5 KM,5 min
Nerul,NEU,Harbour,3 KM,3 min
Seawood Darave,SWDV,Harbour,3 KM,3 min
Belapur CBD,BEPR,Harbour,4 KM,4 min
Kharghar,KHAG,Harbour,4 KM,4 min
Mansarovar,MANR,Harbour,3 KM,3 min
Khandeshwar,KNDS,Harbour,3 KM,3 min
Panvel,PNVL,Harbour,3 KM,3 min
Thane,TNA,Trans Harbour,0 KM,0 min
Airoli,AIRL,Trans Harbour,8 KM,8 min
Rabale,RABE,Trans Harbour,3 KM,3 min
Ghansoli,GNSL,Trans Harbour,3 KM,3 min
Koparkhairane,KPHN,Trans Harbour,3 KM,3 min
Turbhe,TUH,Trans Harbour,4 KM,4 min
Juinagar,JNJ,Trans Harbour,5 KM,5 min
Nerul,NEU,Trans Harbour,3 KM,3 min
Seawood Darave,SWDV,Trans Harbour,3 KM,3 min
Belapur CBD,BEPR,Trans Harbour,4 KM,4 min
Kharghar,KHAG,Trans Harbour,4 KM,4 min
Mansarovar,MANR,Trans Harbour,3 KM,3 min
Khandeshwar,KNDS,Trans Harbour,3 KM,3 min
Panvel,PNVL,Trans Harbour,3 KM,3 min
Nerul,NEU,Uran,0 KM,0 min
Seawood Darave,SWDV,Uran,3 KM,3 min
Belapur CBD,BEPR,Uran,4 KM,4 min
Bamandongri,BMNDG,Uran,9 KM,12 min
Kharkopar,KARP,Uran,3 KM,4 min
Diva Jn,DIVA,Diva-Roha,0 KM,0 min
Dativali,DTVL,Diva-Roha,2 KM,5 min
Nilje,NIIJ,Diva-Roha,4 KM,11 min
Taloja Panchanand,TPND,Diva-Roha,6 KM,9 min
Navade Road,NVRD,Diva-Roha,4 KM,7 min
Kalamboli,KLMG,Diva-Roha,2 KM,3 min
Panvel,PNVL,Diva-Roha,4 KM,16 min
Somtane,SMNE,Diva-Roha,7 KM,10 min
Rasayani,RSYI,Diva-Roha,6 KM,7 min
Apta,APTA,Diva-Roha,4 KM,9 min
Jite,JITE,Diva-Roha,10 KM,5 min
Hamarapur,HPUR,Diva-Roha,5 KM,14 min
Pen,PEN,Diva-Roha,6 KM,6 min
Kasu,KASU,Diva-Roha,13 KM,14 min
Nagothane,NGTN,Diva-Roha,14 KM,14 min
Nidi,NIDI,Diva-Roha,5 KM,10 min
Roha,ROHA,Diva-Roha,10 KM,20 min
Dahanu Road,DRD,Dahanu-Virar-Panvel,0 KM,0 min
Vangaon,VGN,Dahanu-Virar-Panvel,9 KM,9 min
Boisar,BOR,Dahanu-Virar-Panvel,6 KM,6 min
Umroli Road,UOI,Dahanu-Virar-Panvel,6 KM,6 min
Palghar,PLG,Dahanu-Virar-Panvel,8 KM,15 min
Kelva Road,KLV,Dahanu-Virar-Panvel,6 KM,8 min
Saphale,SAH,Dahanu-Virar-Panvel,8 KM,8 min
Vaitarna,VTN,Dahanu-Virar-Panvel,8 KM,9 min
Virar,VR,Dahanu-Virar-Panvel,4 KM,6 min
Nalla Sopara,NSP,Dahanu-Virar-Panvel,4 KM,5 min
Vasai Road,BSR/BS,Dahanu-Virar-Panvel,4 KM,5 min
Juchandra Road,JCNR,Dahanu-Virar-Panvel,4 KM,6 min
Kaman Road,KARD,Dahanu-Virar-Panvel,7 KM,6 min
Kharbao,KHBV,Dahanu-Virar-Panvel,7 KM,7 min
Bhiwandi Road,BIRD,Dahanu-Virar-Panvel,8 KM,10 min
Kopar,KOPR,Dahanu-Virar-Panvel,8 KM,12 min
Dativali,DTVL,Dahanu-Virar-Panvel,3 KM,8 min
Nilje,NIIJ,Dahanu-Virar-Panvel,4 KM,11 min
Taloja Panchanand,TPND,Dahanu-Virar-Panvel,6 KM,9 min
Navade Road,NVRD,Dahanu-Virar-Panvel,4 KM,7 min
Kalamboli,KLMG,Dahanu-Virar-Panvel,2 KM,3 min
Panvel,PNVL,Dahanu-Virar-Panvel,4 KM,16 min
Neral,NRL,Neral-Matheran,0 KM,0 min
Jumapatti,JTT,Neral-Matheran,5 KM,46 min
Waterpipe,WTP,Neral-Matheran,6 KM,46 min
Aman Lodge,AMNA,Neral-Matheran,7 KM,50 min
Matheran,MAE,Neral-Matheran,2 KM,18 min
